Student Number,Gender,Race,Hispanic / Latino,Grade Level,LEP Indicator Code,Eligible for Free or Reduced Lunch,Has Active at Risk,Has Special Education Enrollment TX,IEP Continuer,Housing Status,Active,Language Description,Status of Enrollment
268983,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275460,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
259735,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278214,M - Male,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268629,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269551,M - Male,White,TRUE,10,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
281533,M - Male,White,TRUE,10,F,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264101,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267519,F - Female,White,TRUE,11,5,No,Yes,No,No,Not Applicable,No,SPANISH,Active
283360,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
290771,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
290772,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,Yes,SPANISH,Active
290773,F - Female,White,TRUE,12,C,No,Yes,No,No,Not Applicable,Yes,SPANISH,Active
287204,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
287870,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270491,M - Male,Amer Indian,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266913,M - Male,White,TRUE,12,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
267258,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271778,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267924,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
264577,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
264089,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280416,M - Male,White,TRUE,10,5,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271141,F - Female,White,TRUE,10,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267111,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
262288,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267384,M - Male,Amer Indian,TRUE,11,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
289693,F - Female,White,TRUE,12,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268374,F - Female,Amer Indian,TRUE,12,,No,No,No,No,Not Applicable,No,SPANISH,Active
283270,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269056,F - Female,Amer Indian,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267127,F - Female,Amer Indian,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
268902,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265178,M - Male,White,TRUE,12,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
272638,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
274172,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274170,M - Male,White,TRUE,12,,No,Yes,No,No,Foster Care,No,ENGLISH,Active
266434,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265890,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269089,M - Male,White,TRUE,10,,No,Yes,No,No,Homeless,No,ENGLISH,Active
269512,F - Female,Amer Indian,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264176,F - Female,Amer Indian,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
263893,M - Male,White,TRUE,11,,No,Yes,No,No,Homeless,No,ENGLISH,Active
269689,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290805,M - Male,White,TRUE,11,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
264466,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289718,F - Female,White,TRUE,12,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
269549,M - Male,Amer Indian,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272081,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
280180,F - Female,White,FALSE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
280357,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267575,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
258770,M - Male,White,TRUE,12,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
278456,M - Male,White,TRUE,10,4,No,Yes,No,No,Not Applicable,No,SPANISH,Active
274588,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
266352,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288725,F - Female,White,TRUE,10,F,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286899,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
262681,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286848,F - Female,White,TRUE,10,5,No,No,No,No,Not Applicable,No,ENGLISH,Active
277173,F - Female,White,TRUE,12,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277181,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289508,M - Male,Black,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
289517,M - Male,Black,FALSE,11,,No,Yes,Yes,No,Foster Care,No,ENGLISH,Active
268623,M - Male,Multi-Race,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264812,M - Male,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268260,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
261813,F - Female,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
261339,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290915,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
268924,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
287303,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
265091,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266774,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270174,M - Male,White,TRUE,11,,No,Yes,Yes,No,Homeless,No,ENGLISH,Active
271977,F - Female,White,TRUE,10,,No,Yes,Yes,No,Homeless,No,ENGLISH,Active
264083,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273637,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280371,M - Male,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270001,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289773,F - Female,White,TRUE,10,C,No,Yes,No,No,Not Applicable,Yes,SPANISH,Active
266995,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
266788,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288453,F - Female,Black,FALSE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274755,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267452,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267469,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264120,M - Male,Amer Indian,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266714,M - Male,White,TRUE,10,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288214,M - Male,White,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
268806,M - Male,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272576,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272577,M - Male,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
266397,F - Female,Amer Indian,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
265041,M - Male,Amer Indian,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
269609,F - Female,White,TRUE,10,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
274377,F - Female,White,TRUE,10,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269414,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271941,M - Male,Black,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
266324,F - Female,White,TRUE,11,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271708,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286417,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269838,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264305,F - Female,White,FALSE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
267177,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272522,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
