Student Number,Gender,Race,Hispanic / Latino,Grade Level,LEP Indicator Code,Eligible for Free or Reduced Lunch,Has Active at Risk,Has Special Education Enrollment TX,IEP Continuer,Housing Status,Active,Language Description,Status of Enrollment
270417,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
280176,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277697,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270877,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273547,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278339,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271733,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270968,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291284,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291285,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272885,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289213,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
280450,F - Female,Black,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271248,M - Male,White,TRUE,9,S,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
276792,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273073,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270891,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273422,M - Male,White,FALSE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
286467,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
273417,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273415,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280191,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288813,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
288724,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272945,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271585,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278771,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270768,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,SPANISH,Active
269810,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274498,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271314,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280821,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273042,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277305,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270947,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
287957,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274028,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270949,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274421,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271700,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270999,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
274472,M - Male,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276278,F - Female,Black,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271286,M - Male,Amer Indian,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270875,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
287176,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271354,M - Male,White,TRUE,9,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
275496,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284968,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275559,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
285766,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271327,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278790,M - Male,Amer Indian,TRUE,9,,No,Yes,No,No,Homeless,No,ENGLISH,Active
269660,M - Male,White,TRUE,9,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271340,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271705,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271575,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275333,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273823,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270970,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
271581,F - Female,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
266100,M - Male,White,TRUE,9,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271589,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269913,F - Female,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271004,F - Female,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271492,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284417,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
272958,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
277575,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274546,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271586,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273429,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275753,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271239,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270846,F - Female,Pacific Isl,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275335,F - Female,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270817,F - Female,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273036,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270903,F - Female,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
276210,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284579,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
291138,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,SPANISH,Active
276162,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275930,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270906,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271348,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269738,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271553,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284351,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270873,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274547,F - Female,White,TRUE,9,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271333,F - Female,White,TRUE,9,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270759,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271265,F - Female,White,TRUE,9,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271580,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289250,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271350,M - Male,White,TRUE,9,5,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275507,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
284205,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
287884,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270819,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288720,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289536,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
286472,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271458,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270742,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277884,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271274,M - Male,Amer Indian,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276128,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
279149,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
286479,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273050,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268608,F - Female,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,SPANISH,Active
271740,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284645,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283860,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
281166,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273091,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271054,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
288844,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
287942,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276052,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271337,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283105,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270839,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271092,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270869,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271224,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288898,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273571,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284578,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290878,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290879,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
287895,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271984,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270820,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269795,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271628,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
275163,F - Female,White,TRUE,9,4,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280307,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270841,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269708,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289848,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274064,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271105,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271648,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270879,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271679,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
281258,F - Female,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
272185,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272788,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283103,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271502,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
285687,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
278503,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
282209,M - Male,Amer Indian,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268599,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273132,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274093,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
288118,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275292,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
283601,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270679,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283454,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271821,M - Male,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
280175,M - Male,White,TRUE,9,F,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270915,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270910,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271470,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271403,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270901,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290861,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291050,F - Female,Multi-Race,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271308,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276220,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
281523,M - Male,White,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
272962,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272006,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284490,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
291282,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271992,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272031,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288292,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,SPANISH,Active
270850,M - Male,Black,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
279434,F - Female,Amer Indian,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
274506,F - Female,White,TRUE,9,,No,Yes,No,No,Homeless,No,ENGLISH,Active
291223,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
285977,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
268869,M - Male,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
276014,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291098,F - Female,Amer Indian,TRUE,9,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
291227,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271500,M - Male,Amer Indian,TRUE,9,,No,No,No,No,Not Applicable,No,ENGLISH,Active
282407,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271681,F - Female,White,TRUE,9,,No,Yes,No,No,Foster Care,No,ENGLISH,Active
270767,F - Female,White,TRUE,9,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
270762,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270916,F - Female,Amer Indian,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269964,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273939,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284324,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270980,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273086,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271234,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
286364,M - Male,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274047,M - Male,White,TRUE,8,,No,Yes,No,No,Foster Care,No,ENGLISH,Active
286363,F - Female,White,TRUE,8,F,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275070,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273136,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
284066,M - Male,White,TRUE,8,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271275,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275754,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
286703,F - Female,Pacific Isl,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
286121,F - Female,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
281532,F - Female,White,TRUE,8,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
281530,M - Male,White,TRUE,7,C,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
285608,M - Male,White,TRUE,7,C,No,Yes,Yes,No,Not Applicable,No,SPANISH,Active
285578,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273349,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
272967,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
280933,M - Male,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284101,F - Female,White,TRUE,7,,No,Yes,Yes,No,Homeless,No,ENGLISH,Active
287690,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
290910,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
275577,M - Male,White,TRUE,8,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
277542,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
290904,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,Yes,SPANISH,Active
275363,F - Female,White,TRUE,7,4,No,No,No,No,Not Applicable,No,ENGLISH,Active
275128,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
281046,M - Male,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275071,F - Female,Asian,FALSE,7,4,No,No,No,No,Not Applicable,No,GUJARATI,Active
275586,M - Male,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276045,F - Female,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273331,F - Female,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273464,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
276148,M - Male,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291257,M - Male,Multi-Race,TRUE,8,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
277583,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273478,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275593,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
279892,F - Female,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273332,F - Female,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
272056,M - Male,Amer Indian,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274915,F - Female,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
270897,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
283399,F - Female,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
277585,F - Female,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
275432,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
289172,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
274993,M - Male,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273352,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
274167,M - Male,White,TRUE,8,,No,Yes,Yes,No,Homeless,No,ENGLISH,Active
272001,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276185,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
281689,F - Female,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
282830,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
274116,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270927,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273209,M - Male,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271455,M - Male,White,TRUE,8,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
289684,M - Male,White,FALSE,8,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
286323,F - Female,White,TRUE,8,C,No,Yes,Yes,No,Not Applicable,No,SPANISH,Active
275433,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273633,F - Female,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275490,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
270405,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
275130,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
275131,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272815,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273456,M - Male,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273357,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273733,F - Female,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275141,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
275598,F - Female,White,TRUE,7,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
278017,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
271140,M - Male,White,TRUE,8,F,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
272828,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273775,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276492,M - Male,White,TRUE,7,,No,No,Yes,No,Not Applicable,No,ENGLISH,Active
276325,F - Female,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273476,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
273353,M - Male,White,TRUE,8,F,No,Yes,No,No,Not Applicable,No,SPANISH,Active
274063,M - Male,Amer Indian,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
275478,F - Female,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
275474,F - Female,White,TRUE,8,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276069,M - Male,White,TRUE,7,,No,No,No,No,Not Applicable,No,ENGLISH,Active
277616,M - Male,White,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
275714,F - Female,White,TRUE,7,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273628,F - Female,Amer Indian,TRUE,8,,No,No,No,No,Not Applicable,No,ENGLISH,Active
273577,F - Female,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
273973,F - Female,White,TRUE,7,C,No,Yes,Yes,No,Not Applicable,No,SPANISH,Active
273192,M - Male,White,TRUE,8,F,No,No,No,No,Not Applicable,No,ENGLISH,Active
274731,M - Male,White,TRUE,8,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
